ronde,doelwit,woord,bit,verdict,latentie_cycli
301,resultaat,29,2,0x6,385
304,uitvoer,2,22,0x4,370
307,invoer,7,14,0x7,640
310,resultaat,0,18,0x6,385
313,uitvoer,1,2,0x4,370
316,invoer,14,17,0x7,640
319,resultaat,3,7,0x6,385
322,uitvoer,4,17,0x4,370
325,invoer,5,3,0x7,640
328,resultaat,26,17,0x6,385
331,uitvoer,31,0,0x4,370
334,invoer,24,16,0x7,640
337,resultaat,25,0,0x6,385
340,uitvoer,22,16,0x4,370
343,invoer,12,0,0x7,640
346,resultaat,15,16,0x6,385
349,uitvoer,18,1,0x4,370
352,invoer,17,19,0x7,640
355,resultaat,16,1,0x6,385
358,uitvoer,19,23,0x4,370
361,invoer,30,1,0x7,640
364,resultaat,29,18,0x6,385
367,uitvoer,20,2,0x4,370
370,invoer,23,30,0x7,640
373,resultaat,10,6,0x6,385
376,uitvoer,9,18,0x4,370
379,invoer,8,3,0x7,640
382,resultaat,11,21,0x6,385
385,uitvoer,6,15,0x4,370
388,invoer,5,21,0x7,640
391,resultaat,29,3,0x6,385
394,uitvoer,30,13,0x4,370
397,invoer,3,4,0x7,640
400,resultaat,0,28,0x6,385
403,uitvoer,1,4,0x4,370
406,invoer,2,20,0x7,640
409,resultaat,15,28,0x6,385
412,uitvoer,12,23,0x4,370
415,invoer,5,13,0x7,640
418,resultaat,6,27,0x6,385
421,uitvoer,27,5,0x4,370
424,invoer,24,15,0x7,640
427,resultaat,25,6,0x6,385
430,uitvoer,26,26,0x4,370
433,invoer,23,10,0x7,640
436,resultaat,20,22,0x6,385
439,uitvoer,14,30,0x4,370
442,invoer,17,10,0x7,640
445,resultaat,16,11,0x6,385
448,uitvoer,23,25,0x4,370
451,invoer,18,7,0x7,640
454,resultaat,29,9,0x6,385
457,uitvoer,28,27,0x4,370
460,invoer,27,24,0x7,640
463,resultaat,22,8,0x6,385
466,uitvoer,9,24,0x4,370
469,invoer,8,24,0x7,640
472,resultaat,15,8,0x6,385
475,uitvoer,10,9,0x4,370
478,invoer,5,31,0x7,640
481,resultaat,4,9,0x6,385
484,uitvoer,3,11,0x4,370
